,City,Latitude,Longitude,Humidity,Cloudiness,Temperature,Country,Wind_Speed,Date
0,Puerto Ayora,-0.74,-90.35,91,65,73.99,EC,8.99,1607399328
1,Vanse,58.12,6.7,90,100,45.0,NO,19.91,1607399509
2,Vaini,-21.2,-175.2,78,20,82.4,TO,12.75,1607399509
3,Rikitea,-23.12,-134.97,80,3,75.99,PF,13.09,1607399350
4,Airai,-8.93,125.41,75,100,74.53,TL,3.67,1607399365
5,Yaan,7.38,8.57,82,86,75.6,NG,4.47,1607399509
6,East London,-33.02,27.91,94,0,68.0,ZA,11.41,1607399509
7,Peñaflor,-33.62,-70.92,76,0,60.01,CL,10.29,1607399362
8,Samarai,-10.62,150.67,71,14,86.0,PG,9.01,1607399347
9,La Ronge,55.1,-105.28,60,42,41.0,CA,8.05,1607399340
10,Laguna,38.42,-121.42,31,1,61.0,US,6.93,1607399406
11,Korla,41.76,86.15,84,30,27.68,CN,2.13,1607399432
12,Atuona,-9.8,-139.03,74,1,78.64,PF,16.89,1607399317
13,Qaanaaq,77.48,-69.36,87,79,-2.45,GL,4.09,1607399382
14,Bredasdorp,-34.53,20.04,96,72,61.0,ZA,5.84,1607399316
15,Makkah al Mukarramah,21.43,39.83,29,0,71.04,SA,7.05,1607399509
16,Jumla,29.27,82.18,30,0,58.1,NP,3.06,1607399330
17,Vardø,70.37,31.11,85,20,21.2,NO,16.11,1607399444
18,Hobart,-42.88,147.33,36,75,62.6,AU,27.51,1607399288
19,Chokurdakh,70.63,147.92,91,100,-10.89,RU,7.52,1607399510
20,Khatanga,71.97,102.5,91,100,-9.2,RU,6.67,1607399510
21,Kemijärvi,66.71,27.43,98,100,28.29,FI,6.76,1607399510
22,Ushuaia,-54.8,-68.3,93,75,44.6,AR,8.05,1607399278
23,Hithadhoo,-0.6,73.08,77,88,82.22,MV,12.46,1607399510
24,Monte Carmelo,-18.72,-47.5,86,98,67.15,BR,2.51,1607399510
25,Barrow,71.29,-156.79,84,90,1.4,US,10.29,1607399325
26,Arraial do Cabo,-22.97,-42.03,92,100,74.66,BR,20.85,1607399488
27,Ponta do Sol,32.67,-17.1,77,20,59.0,PT,3.36,1607399356
28,Punta Arenas,-53.15,-70.92,87,100,53.01,CL,6.93,1607399511
29,Ozernovskiy,51.5,156.52,91,98,25.86,RU,5.7,1607399465
30,Kaitangata,-46.28,169.85,41,34,66.34,NZ,5.77,1607399343
31,Dondo,-19.61,34.74,94,75,75.2,MZ,13.87,1607399511
32,Hobyo,5.35,48.53,68,97,79.21,SO,13.33,1607399511
33,Severo-Kuril'sk,50.68,156.12,88,68,26.26,RU,8.28,1607399511
34,Hilo,19.73,-155.09,65,90,78.8,US,3.36,1607399352
35,Butaritari,3.07,172.79,75,55,81.88,KI,8.32,1607399311
36,San Cristobal,7.77,-72.22,86,82,64.89,VE,2.1,1607399511
37,Tiksi,71.69,128.87,88,94,-20.07,RU,1.28,1607399316
38,Isangel,-19.55,169.27,70,75,87.8,VU,5.82,1607399380
39,Smithers,54.78,-127.17,93,90,35.6,CA,2.24,1607399511
40,Bethel,41.37,-73.41,68,75,28.99,US,10.29,1607399385
41,Mapiri,-15.25,-68.17,90,98,67.41,BO,0.67,1607399511
42,Mataura,-46.19,168.86,73,35,60.01,NZ,20.0,1607399512
43,Albany,42.6,-73.97,62,89,28.99,US,5.01,1607399512
44,Jamestown,42.1,-79.24,79,90,28.0,US,13.87,1607399347
45,Yulara,-25.24,130.99,14,0,87.8,AU,9.17,1607399512
46,Kavieng,-2.57,150.8,64,96,85.93,PG,6.93,1607399572
47,Saint-Pierre,-21.34,55.48,58,0,82.4,RE,4.7,1607399369
48,Kapaa,22.08,-159.32,74,75,80.6,US,11.41,1607399365
49,Bluff,-46.6,168.33,73,3,60.01,NZ,20.0,1607399572
50,Port Alfred,-33.59,26.89,81,7,70.97,ZA,10.67,1607399347
51,Margate,51.38,1.39,89,99,41.0,GB,2.17,1607399572
52,Faanui,-16.48,-151.75,76,92,79.66,PF,7.9,1607399572
53,Panabá,21.28,-88.27,82,49,66.63,MX,8.66,1607399572
54,São Filipe,14.9,-24.5,76,100,75.2,CV,11.03,1607399349
55,Bontang,0.13,117.5,66,75,85.71,ID,8.01,1607399573
56,Lebu,-37.62,-73.65,89,79,52.84,CL,6.4,1607399573
57,Port Moresby,-9.44,147.18,66,40,87.8,PG,14.99,1607399573
58,Nanortalik,60.14,-45.24,89,100,31.66,GL,8.95,1607399573
59,Busselton,-33.65,115.33,17,0,93.99,AU,5.06,1607399573
60,Talnakh,69.49,88.4,75,90,-14.8,RU,35.79,1607399573
61,Saint-Philippe,-21.36,55.77,58,0,82.4,RE,4.7,1607399573
62,Pevek,69.7,170.31,89,5,8.85,RU,5.08,1607399574
63,Bima,-8.47,118.72,65,59,87.66,ID,10.58,1607399574
64,Bengkulu,-3.8,102.27,63,89,85.17,ID,7.11,1607399574
65,Ilulissat,69.22,-51.1,73,100,24.8,GL,14.99,1607399574
66,Chui,-33.7,-53.46,89,38,59.94,UY,6.13,1607399362
67,Udachny,66.42,112.4,75,0,-16.6,RU,4.47,1607399574
68,Cape Town,-33.93,18.42,93,75,66.0,ZA,6.93,1607399322
69,Oistins,13.07,-59.53,73,20,77.0,BB,9.17,1607399574
70,Whitehorse,60.72,-135.05,94,75,32.0,CA,12.75,1607399574
71,Douglas,41.3,-96.17,55,1,39.0,US,6.93,1607399574
72,Zyryanka,65.75,150.85,86,85,-24.23,RU,6.11,1607399371
73,Manicoré,-5.81,-61.3,98,92,72.84,BR,2.17,1607399574
74,Lorengau,-2.02,147.27,63,72,86.67,PG,7.45,1607399353
75,White Rock,49.02,-122.8,96,100,51.01,CA,5.99,1607399429
76,Boende,-0.22,20.87,97,89,71.62,CD,1.81,1607399575
77,Skjervøy,70.03,20.97,87,100,32.41,NO,10.02,1607399419
78,Northam,51.03,-4.22,84,73,43.0,GB,5.99,1607399575
79,Kahului,20.89,-156.47,74,40,78.8,US,20.8,1607399575
80,Broken Hill,-31.95,141.43,28,0,69.8,AU,10.29,1607399575
81,Pathānkot,32.28,75.65,28,99,68.59,IN,0.54,1607399575
82,Mayo,38.89,-76.51,64,1,36.0,US,8.05,1607399455
83,Bambous Virieux,-20.34,57.76,88,40,82.99,MU,5.95,1607399575
84,Esperance,-33.87,121.9,32,0,80.6,AU,10.29,1607399575
85,Yazd,31.9,54.37,93,75,41.0,IR,4.7,1607399289
86,Clyde River,70.47,-68.59,92,90,6.8,CA,8.05,1607399324
87,Almaznyy,48.04,40.05,78,20,14.0,RU,15.66,1607399575
88,Mayskiy,47.69,40.1,78,20,14.0,RU,15.66,1607399576
89,Caravelas,-17.71,-39.25,82,0,74.71,BR,7.92,1607399333
90,Srednekolymsk,67.45,153.68,84,96,-27.8,RU,9.4,1607399464
91,Luanda,-8.84,13.23,88,40,75.2,AO,5.82,1607399343
92,Harlingen,26.19,-97.7,71,1,51.8,US,5.82,1607399556
93,Rocha,-34.48,-54.33,93,0,54.52,UY,3.58,1607399636
94,Hundorp,61.56,9.94,81,100,37.4,NO,2.48,1607399636
95,Faya,18.39,42.45,66,0,50.0,SA,1.03,1607399636
96,New Norfolk,-42.78,147.06,65,100,60.01,AU,4.0,1607399636
97,Hermanus,-34.42,19.23,96,99,61.0,ZA,1.74,1607399636
98,Bourail,-21.57,165.48,48,32,88.88,NC,5.44,1607399610
99,Hattiesburg,31.33,-89.29,86,1,42.8,US,3.36,1607399636
100,Krutinka,56.01,71.51,97,99,20.01,RU,11.56,1607399636
101,Obala,4.17,11.53,100,75,69.8,CM,2.24,1607399637
102,Moerai,-22.43,-151.33,82,98,79.14,PF,10.27,1607399637
103,Tumut,-35.3,148.22,43,0,66.18,AU,12.01,1607399362
104,Brønnøysund,65.46,12.2,61,84,46.4,NO,13.87,1607399637
105,Constitución,-35.33,-72.42,87,33,51.55,CL,7.14,1607399637
106,Burnie,-41.07,145.92,62,96,64.0,AU,11.01,1607399637
107,Black River,18.03,-77.85,83,20,78.8,JM,6.93,1607399587
108,Bālurghāt,25.22,88.77,57,0,74.64,IN,6.08,1607399637
109,Upernavik,72.79,-56.15,96,100,18.99,GL,9.46,1607399368
110,Montevideo,-34.83,-56.17,63,0,62.6,UY,8.05,1607399421
111,Semnan,35.57,53.4,78,73,37.74,IR,1.45,1607399637
112,Yellowknife,62.46,-114.35,84,5,8.01,CA,8.05,1607399638
113,Rio Verde de Mato Grosso,-18.92,-54.84,56,17,74.79,BR,3.49,1607399418
114,Urdoma,61.75,48.54,96,94,18.25,RU,6.89,1607399638
115,Marang,5.21,103.21,94,40,77.0,MY,5.82,1607399638
116,Saint Anthony,45.02,-93.22,92,90,32.0,US,4.7,1607399568
117,Victor Harbor,-35.57,138.62,60,33,63.0,AU,4.0,1607399638
118,Calabozo,8.92,-67.43,82,99,75.27,VE,4.36,1607399638
119,Cervo,43.67,-7.41,91,75,42.01,ES,17.0,1607399638
120,Yar-Sale,66.83,70.83,84,0,-2.36,RU,7.83,1607399512
121,Santa Luzia,-19.77,-43.85,94,75,69.8,BR,2.24,1607399638
122,Aktau,43.65,51.2,78,0,8.6,KZ,15.66,1607399638
123,Thompson,55.74,-97.86,100,90,30.2,CA,9.17,1607399638
124,Dul'durga,50.68,113.59,76,83,15.08,RU,5.3,1607399638
125,San Jose,37.34,-121.89,29,1,60.8,US,5.82,1607399280
126,Hasaki,35.73,140.83,54,20,62.01,JP,8.05,1607399639
127,Port Blair,11.67,92.75,70,77,81.99,IN,14.09,1607399639
128,Huarmey,-10.07,-78.15,83,100,68.13,PE,6.6,1607399639
129,Araouane,18.9,-3.53,28,8,65.34,ML,8.28,1607399519
130,Merrill,45.18,-89.68,74,90,30.2,US,3.27,1607399362
131,Tuktoyaktuk,69.45,-133.04,84,90,3.2,CA,6.93,1607399639
132,Isla Mujeres,21.23,-86.73,78,5,73.99,MX,9.17,1607399639
133,Avarua,-21.21,-159.78,83,9,80.6,CK,5.82,1607399639
134,Olafsvik,64.89,-23.71,95,99,34.36,IS,2.93,1607399639
135,Belfast,54.58,-5.93,100,100,39.0,GB,8.05,1607399639
136,Batagay-Alyta,67.8,130.41,83,69,-30.69,RU,0.85,1607399639
137,Leh,34.17,77.58,78,61,23.54,IN,3.76,1607399360
138,Siniscola,40.57,9.69,93,40,50.0,IT,3.36,1607399640
139,Borogontsy,62.67,131.17,87,68,-21.64,RU,4.29,1607399700
140,Izhma,65.01,53.91,95,100,33.13,RU,8.57,1607399700
141,Saint George,37.1,-113.58,20,1,51.8,US,6.93,1607399700
142,San Patricio,28.02,-97.52,71,20,53.01,US,4.7,1607399700
143,Ponta Delgada,37.73,-25.67,71,75,57.2,PT,4.7,1607399700
144,Klaksvík,62.23,-6.59,69,100,39.2,FO,14.99,1607399700
145,Swan River,52.11,-101.27,94,98,32.0,CA,8.05,1607399700
146,Codrington,-38.27,141.97,61,32,60.01,AU,16.82,1607399700
147,Yangi Marg`ilon,40.43,71.72,81,75,32.0,UZ,0.65,1607399700
148,Nikolskoye,59.7,30.79,73,0,21.99,RU,6.71,1607399700
149,Nokaneng,-19.67,22.27,78,73,70.93,BW,4.5,1607399700
150,Malgrat de Mar,41.65,2.74,71,55,45.0,ES,5.01,1607399644
151,Haines Junction,60.75,-137.51,94,43,32.0,CA,5.82,1607399226
152,Linxia Chengguanzhen,35.6,103.21,83,58,32.83,CN,4.0,1607399701
153,Aksarka,66.56,67.8,84,0,-2.15,RU,6.49,1607399129
154,Sarangani,5.4,125.46,74,57,84.76,PH,12.08,1607399701
155,Port Elizabeth,-33.92,25.57,93,40,66.2,ZA,3.36,1607399701
156,Obihiro,42.92,143.2,34,20,37.4,JP,13.87,1607399701
157,Geraldton,-28.77,114.6,33,0,89.6,AU,23.04,1607399701
158,Aklavik,68.22,-135.01,84,100,-0.4,CA,2.24,1607399701
159,Neo Monastiri,39.23,22.25,75,20,51.01,GR,5.82,1607399701
160,Lima,-12.04,-77.03,88,75,66.2,PE,12.75,1607399422
161,Cairns,-16.92,145.77,70,40,91.0,AU,9.17,1607399702
162,Salalah,17.02,54.09,68,20,68.0,OM,4.7,1607399702
163,Touros,-5.2,-35.46,94,40,73.4,BR,4.7,1607399466
164,Coahuayana Viejo,18.73,-103.68,80,37,74.26,MX,3.42,1607399702
165,Lalibela,12.03,39.03,58,34,53.8,ET,5.06,1607399702
166,Gayny,60.31,54.32,96,2,14.52,RU,7.36,1607399702
167,Plateros,23.22,-102.85,69,83,49.91,MX,9.31,1607399702
168,Rehoboth,-23.32,17.08,42,0,56.32,NA,3.11,1607399702
169,Woodland,38.68,-121.77,25,1,64.0,US,8.05,1607399702
170,Buala,-8.14,159.59,74,100,83.8,SB,3.31,1607399428
171,Tārānagar,28.67,75.04,23,0,73.85,IN,3.83,1607399702
172,Atocha,-20.93,-66.23,69,8,49.55,BO,5.5,1607399702
173,Hambantota,6.12,81.12,94,20,80.6,LK,5.82,1607399355
174,Broome,42.25,-75.83,85,90,27.0,US,8.05,1607399703
175,Iqaluit,63.75,-68.51,78,90,17.6,CA,8.05,1607399413
176,Mareeba,-17.0,145.43,70,40,91.0,AU,9.17,1607399703
177,Bulgan,48.81,103.53,77,93,7.12,MN,4.05,1607399703
178,Tutóia,-2.76,-42.27,79,91,80.87,BR,12.82,1607399703
179,Horsham,51.06,-0.33,93,75,37.4,GB,2.24,1607399703
180,Bulancak,40.94,38.23,66,0,51.8,TR,5.82,1607399703
181,Cabo San Lucas,22.89,-109.91,59,5,64.99,MX,6.93,1607399703
182,Tanguá,-22.73,-42.71,100,90,79.0,BR,2.24,1607399592
183,Mahébourg,-20.41,57.7,88,40,77.0,MU,5.5,1607399703
184,Narsaq,60.92,-46.05,37,100,33.8,GL,16.11,1607399703
185,Bay Roberts,47.6,-53.26,93,40,37.99,CA,12.75,1607399703
186,Staryy Nadym,65.61,72.68,85,0,-5.98,RU,6.69,1607399763
